cveID,description,cwe,publishedDate,lastModifiedDate,cvssV2_vectorString,cvssV2_accessVector,cvssV2_accessComplexity,cvssV2_authentication,cvssV2_confidentialityImpact,cvssV2_integrityImpact,cvssV2_availabilityImpact,cvssV2_baseScore,cvssV2_severity,cvssV2_exploitabilityScore,cvssV2_impactScore,cvssV2_obtainAllPrivilege,cvssV2_obtainUserPrivilege,cvssV2_obtainOtherPrivilege,cvssV2_userInteractionRequired,cvssV3_vectorString,cvssV3_attackVector,cvssV3_attackComplexity,cvssV3_confidentialityImpact,cvssV3_integrityImpact,cvssV3_availabilityImpact,cvssV3_baseScore,cvssV3_baseSeverity,cvssV3_exploitabilityScore,cvssV3_impactScore,cvssV3_privilegesRequired,cvssV3_scope,cvssV3_userInteraction,ref_cnt,vuln_sftw,vuln_sftw_cnt,vuln_sftw_vndr,vuln_vndr_cnt,vuln_sftw_type,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,notes,EXPLOIT_CODE_MATURITY,VPR_SCORE
CVE-2002-0367,"smss.exe debugging subsystem in Windows NT and Windows 2000 does not properly authenticate programs that connect to other programs, which allows local users to gain administrator or SYSTEM privileges by duplicating a handle to a privileged process, as demonstrated by DebPloit.",NVD-CWE-Other,2002-06-25T04:00Z,2018-10-12T21:31Z,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,True,False,False,False,,,,,,,,,,,,,,9,windows_nt;windows_2000,2,microsoft,1,o,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,2022-03-03,"smss.exe debugging subsystem in Microsoft Windows does not properly authenticate programs that connect to other programs, which allows local users to gain administrator or SYSTEM privileges.",Apply updates per vendor instructions.,2022-03-24,,Functional,7.400000095
CVE-2004-0210,"The POSIX component of Microsoft Windows NT and Windows 2000 allows local users to execute arbitrary code via certain parameters, possibly by modifying message length values and causing a buffer overflow.",NVD-CWE-Other,2004-08-06T04:00Z,2019-04-30T14:27Z,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10.0,True,False,False,False,,,,,,,,,,,,,,6,windows_nt;windows_2000;modular_messaging_message_storage_server,3,microsoft;avaya,2,o,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,2022-03-03,A privilege elevation vulnerability exists in the POSIX subsystem. This vulnerability could allow a logged on user to take complete control of the system.,Apply updates per vendor instructions.,2022-03-24,,High,9.199999809
CVE-2004-1464,"Cisco IOS 12.2(15) and earlier allows remote attackers to cause a denial of service (refused VTY (virtual terminal) connections), via a crafted TCP connection to the Telnet or reverse Telnet port.",NVD-CWE-noinfo,2004-12-31T05:00Z,2017-07-11T01:31Z,AV:N/AC:L/Au:N/C:N/I:N/A:P,NETWORK,LOW,NONE,NONE,NONE,PARTIAL,5.0,MEDIUM,10.0,2.9,False,False,False,False,,,,,,,,,,,,,,6,ios,1,cisco,1,o,Cisco,IOS,Cisco IOS Denial-of-Service Vulnerability,2023-05-19,"Cisco IOS contains an unspecified vulnerability that may block further telnet, reverse telnet, Remote Shell (RSH), Secure Shell (SSH), and in some cases, Hypertext Transport Protocol (HTTP) access to the Cisco device.",Apply updates per vendor instructions.,2023-06-09,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20040827-telnet,Functional,5.099999905
CVE-2005-2773,"HP OpenView Network Node Manager 6.2 through 7.50 allows remote attackers to execute arbitrary commands via shell metacharacters in the (1) node parameter to connectedNodes.ovpl, (2) cdpView.ovpl, (3) freeIPaddrs.ovpl, and (4) ecscmg.ovpl.",NVD-CWE-Other,2005-09-02T23:03Z,2017-07-11T01:32Z,AV:N/AC:L/Au:N/C:P/I:P/A:P,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10.0,6.4,False,False,True,False,,,,,,,,,,,,,,5,openview_network_node_manager,1,hp,1,a,Hewlett Packard (HP),OpenView Network Node Manager,HP OpenView Network Node Manager Remote Code Execution Vulnerability,2022-03-25,HP OpenView Network Node Manager could allow a remote attacker to execute arbitrary commands on the system.,Apply updates per vendor instructions.,2022-04-15,,Functional,7.0
CVE-2006-1547,"ActionForm in Apache Software Foundation (ASF) Struts before 1.2.9 with BeanUtils 1.7 allows remote attackers to cause a denial of service via a multipart/form-data encoded form with a parameter name that references the public getMultipartRequestHandler method, which provides further access to elements in the CommonsMultipartRequestHandler implementation and BeanUtils.",NVD-CWE-Other,2006-03-30T22:02Z,2017-07-20T01:30Z,AV:N/AC:L/Au:N/C:N/I:N/A:C,NETWORK,LOW,NONE,NONE,NONE,COMPLETE,7.8,HIGH,10.0,6.9,False,False,False,False,,,,,,,,,,,,,,9,struts,1,apache,1,a,Apache,Struts 1,Apache Struts 1 ActionForm Denial-of-Service Vulnerability,2022-01-21,ActionForm in Apache Struts versions before 1.2.9 with BeanUtils 1.7 contains a vulnerability which allows for denial-of-service.,Apply updates per vendor instructions.,2022-07-21,,Functional,5.099999905
CVE-2006-2492,"Buffer overflow in Microsoft Word in Office 2000 SP3, Office XP SP3, Office 2003 Sp1 and SP2, and Microsoft Works Suites through 2006, allows user-assisted attackers to execute arbitrary code via a malformed object pointer, as originally reported by ISC on 20060519 for a zero-day attack.",NVD-CWE-Other,2006-05-20T00:02Z,2018-10-12T21:40Z,AV:N/AC:H/Au:N/C:C/I:C/A:C,NETWORK,HIGH,NONE,COMPLETE,COMPLETE,COMPLETE,7.6,HIGH,4.9,10.0,True,False,False,True,,,,,,,,,,,,,,17,word,1,microsoft,1,a,Microsoft,Word,Microsoft Word Malformed Object Pointer Vulnerability,2022-06-08,Microsoft Word and Microsoft Works Suites contain a malformed object pointer which allows attackers to execute code.,Apply updates per vendor instructions.,2022-06-22,,High,9.699999809
CVE-2007-3010,masterCGI in the Unified Maintenance Tool in Alcatel OmniPCX Enterprise Communication Server R7.1 and earlier allows remote attackers to execute arbitrary commands via shell metacharacters in the user parameter during a ping action.,CWE-20,2007-09-18T21:17Z,2018-10-16T16:46Z,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,HIGH,10.0,10.0,False,False,False,False,,,,,,,,,,,,,,9,omnipcx,1,alcatel-lucent,1,a,Alcatel,OmniPCX Enterprise,Alcatel OmniPCX Enterprise Remote Code Execution Vulnerability,2022-04-15,masterCGI in the Unified Maintenance Tool in Alcatel OmniPCX Enterprise Communication Server allows remote attackers to execute arbitrary commands.,Apply updates per vendor instructions.,2022-05-06,,Functional,7.400000095
CVE-2007-5659,Multiple buffer overflows in Adobe Reader and Acrobat 8.1.1 and earlier allow remote attackers to execute arbitrary code via a PDF file with long arguments to unspecified JavaScript methods.  NOTE: this issue might be subsumed by CVE-2008-0655.,CWE-119,2008-02-12T19:00Z,2017-09-29T01:29Z,AV:N/AC:M/Au:N/C:C/I:C/A:C,NETWORK,MEDIUM,NONE,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,8.6,10.0,True,False,False,True,,,,,,,,,,,,,,13,acrobat_reader;acrobat,2,adobe,1,a,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Buffer Overflow Vulnerability,2022-06-08,Adobe Acrobat and Reader contain a buffer overflow vulnerability which allows remote attackers to execute code via a PDF file with long arguments to unspecified JavaScript methods.,Apply updates per vendor instructions.,2022-06-22,,High,9.600000381
CVE-2008-0655,Multiple unspecified vulnerabilities in Adobe Reader and Acrobat before 8.1.2 have unknown impact and attack vectors.,NVD-CWE-noinfo,2008-02-07T21:00Z,2018-10-30T16:25Z,AV:N/AC:M/Au:N/C:C/I:C/A:C,NETWORK,MEDIUM,NONE,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,8.6,10.0,False,False,False,True,,,,,,,,,,,,,,20,acrobat_reader;acrobat,2,adobe,1,a,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Unspecified Vulnerability,2022-06-08,Adobe Acrobat and Reader contains an unespecified vulnerability described as a design flaw which could allow a specially crafted file to be printed silently an arbitrary number of times.,Apply updates per vendor instructions.,2022-06-22,,High,8.899999619
CVE-2008-2992,"Stack-based buffer overflow in Adobe Acrobat and Reader 8.1.2 and earlier allows remote attackers to execute arbitrary code via a PDF file that calls the util.printf JavaScript function with a crafted format string argument, a related issue to CVE-2008-1104.",CWE-119,2008-11-04T18:29Z,2018-10-30T16:25Z,AV:N/AC:M/Au:N/C:C/I:C/A:C,NETWORK,MEDIUM,NONE,COMPLETE,COMPLETE,COMPLETE,9.3,HIGH,8.6,10.0,True,False,False,True,,,,,,,,,,,,,,27,acrobat_reader;acrobat,2,adobe,1,a,Adobe,Acrobat and Reader,Adobe Reader and Acrobat Input Validation Vulnerability,2022-03-03,Adobe Acrobat and Reader contain an input validation issue in a JavaScript method that could potentially lead to remote code execution.,Apply updates per vendor instructions.,2022-03-24,,High,9.5
